Change Component Comment : Designator=D2 Old Comment=BZG05C6V2-E3-TR New Comment=BZG05C5V1-E3-TR
Change component parameters: Designator = "D2" ("D2"); Footprint = "DZ-6.2V-DO-214AC"; UniqueID = "\EVJDWDUK" ("\EVJDWDUK")
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/MUPS/MUPS-S-A0006602125/MUPS-S-A0006602125-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/48668/kdc-mgj2-48668906.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/48668/kdc-mgj2-48668906.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "12.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "19.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Regulation-Max"; Value = "7%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MGJ2D051505SC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "95°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Power"; Value = "2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Input Voltage"; Value = "4.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Output Voltage"; Value = "15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Voltage"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Shape"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Style"; Value = "MICROELECTRONIC ASSEMBLYMeter"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing"; Value = "1=7,73, 5=7,49, 10=7,27, 25=7,03, 50=6,81 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reach SVHC Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Rs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "8163493"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Surface Mount"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "HYBRID"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Grade"; Value = "INDUSTRIAL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Form"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Position"; Value = "SINGLE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Throw Configuration"; Value = "DC-DC REGULATED POWER SUPPLY MODULE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Trim/Adjustable Output"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "9.95mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "DCDC_LS_B" ("DCDC_LS"); Footprint = "MGJ2D051802BSC"; UniqueID = "\SWPWGXJS\VQXWHYIX\VMNKJLJG" ("\SWPWGXJS\VQXWHYIX\VMNKJLJG")
Change component parameters (AddParameter): Name = "Category"; Value = "Board Mount Modules"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "25=5,1192, 30=4,9896, 60=4,86, 130=4,7304, 250=4,6008, 1300=4,4712, 2500=4,3416 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Board Mount Modules"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "25=5,1192, 30=4,9896, 60=4,86, 130=4,7304, 250=4,6008, 1300=4,4712, 2500=4,3416 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Board Mount Modules"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/MUPS/MUPS-S-A0006602125/MUPS-S-A0006602125-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/MUPS/MUPS-S-A0006602125/MUPS-S-A0006602125-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/48668/kdc-mgj2-48668906.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/48668/kdc-mgj2-48668906.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "12.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "19.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Regulation-Max"; Value = "7%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MGJ2D051505SC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "95°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Power"; Value = "2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Input Voltage"; Value = "4.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Output Voltage"; Value = "15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Voltage"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Shape"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Style"; Value = "MICROELECTRONIC ASSEMBLYMeter"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing"; Value = "1=7,73, 5=7,49, 10=7,27, 25=7,03, 50=6,81 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reach SVHC Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Rs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "8163493"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Surface Mount"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "HYBRID"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Grade"; Value = "INDUSTRIAL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Form"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Position"; Value = "SINGLE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Throw Configuration"; Value = "DC-DC REGULATED POWER SUPPLY MODULE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Trim/Adjustable Output"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "9.95mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "DCDC_LS_C" ("DCDC_LS"); Footprint = "MGJ2D051802BSC"; UniqueID = "\SWPWGXJS\DPQVRHBR\VMNKJLJG" ("\SWPWGXJS\DPQVRHBR\VMNKJLJG")
Change component parameters (AddParameter): Name = "Category"; Value = "Board Mount Modules"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "25=5,1192, 30=4,9896, 60=4,86, 130=4,7304, 250=4,6008, 1300=4,4712, 2500=4,3416 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Board Mount Modules"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "25=5,1192, 30=4,9896, 60=4,86, 130=4,7304, 250=4,6008, 1300=4,4712, 2500=4,3416 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MGJ2D051802BSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Board Mount Modules"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/MUPS/MUPS-S-A0006602125/MUPS-S-A0006602125-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/MUPS/MUPS-S-A0006602125/MUPS-S-A0006602125-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/48668/kdc-mgj2-48668906.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/48668/kdc-mgj2-48668906.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "12.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "19.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Regulation-Max"; Value = "7%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MGJ2D051505SC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "95°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Power"; Value = "2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Input Voltage"; Value = "4.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Output Voltage"; Value = "15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Voltage"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Shape"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Style"; Value = "MICROELECTRONIC ASSEMBLYMeter"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing"; Value = "1=7,73, 5=7,49, 10=7,27, 25=7,03, 50=6,81 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reach SVHC Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Rs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "8163493"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Surface Mount"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "HYBRID"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Grade"; Value = "INDUSTRIAL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Form"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Position"; Value = "SINGLE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Throw Configuration"; Value = "DC-DC REGULATED POWER SUPPLY MODULE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Trim/Adjustable Output"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "9.95mm"; VariantName = "[No Variations]"
Added Member To Class: ClassName=A Member=Component R401_A (R401) CR1206-JW-363ELF
Added Member To Class: ClassName=B Member=Component R401_B (R401) CR1206-JW-363ELF
Added Member To Class: ClassName=C Member=Component R401_C (R401) CR1206-JW-363ELF
Added Member To Class: ClassName=A Member=Component R402_A (R402) CR1206-JW-563ELF
Added Member To Class: ClassName=B Member=Component R402_B (R402) CR1206-JW-563ELF
Added Member To Class: ClassName=C Member=Component R402_C (R402) CR1206-JW-563ELF
Added Member To Class: ClassName=A Member=Component R403_A (R403) CR1206-JW-363ELF
Added Member To Class: ClassName=B Member=Component R403_B (R403) CR1206-JW-363ELF
Added Member To Class: ClassName=C Member=Component R403_C (R403) CR1206-JW-363ELF
Added Member To Class: ClassName=A Member=Component R404_A (R404) CR1206-JW-563ELF
Added Member To Class: ClassName=B Member=Component R404_B (R404) CR1206-JW-563ELF
Added Member To Class: ClassName=C Member=Component R404_C (R404) CR1206-JW-563ELF
